candidate_id,rank,score,reasoning
CAND_0039754,1,1.0,"Senior Applied Scientist with 16.2 yrs exp at Meta. Core AI/ML skills: Fine-tuning LLMs, Qdrant, NLP, OpenSearch. Strong semantic alignment with JD (ranking, retrieval, embeddings). Immediately available (Open to Work, 30d notice). Active GitHub contributor (score 78/100). Excellent recruiter responsiveness (81%)."
CAND_0018499,2,0.9736,"Senior Machine Learning Engineer with 7.2 yrs exp at Zomato. Core AI/ML skills: Deep Learning, Weaviate, Recommendation Systems, scikit-learn. Strong semantic alignment with JD (ranking, retrieval, embeddings). Immediately available (Open to Work, 15d notice). Active GitHub contributor (score 95/100)."
CAND_0055905,3,0.9151,"Senior Machine Learning Engineer with 8.1 yrs exp at Flipkart. Core AI/ML skills: Elasticsearch, Hugging Face Transformers, LangChain, Python. Strong semantic alignment with JD (ranking, retrieval, embeddings). Immediately available (Open to Work, 30d notice). Excellent recruiter responsiveness (87%)."
CAND_0046064,4,0.9099,"Senior NLP Engineer with 8.9 yrs exp at Salesforce. Core AI/ML skills: Python, Pinecone, BM25, OpenSearch. Immediately available (Open to Work, 30d notice). Active GitHub contributor (score 67/100). Excellent recruiter responsiveness (78%)."
CAND_0081846,5,0.902,"Lead AI Engineer with 6.7 yrs exp at Razorpay. Core AI/ML skills: Information Retrieval, Learning to Rank, Elasticsearch, PyTorch. Strong semantic alignment with JD (ranking, retrieval, embeddings). Immediately available (Open to Work, 30d notice). Excellent recruiter responsiveness (73%)."
CAND_0011687,6,0.8826,"Senior NLP Engineer with 7.8 yrs exp at Niramai. Core AI/ML skills: TensorFlow, OpenSearch, FAISS, PEFT. Strong semantic alignment with JD (ranking, retrieval, embeddings). Immediately available (Open to Work, 15d notice). Active GitHub contributor (score 76/100). Excellent recruiter responsiveness (89%)."
CAND_0071974,7,0.8332,"Senior AI Engineer with 7.8 yrs exp at Netflix. Core AI/ML skills: LoRA, Learning to Rank, Weaviate, PEFT. Strong semantic alignment with JD (ranking, retrieval, embeddings). Active GitHub contributor (score 83/100). Excellent recruiter responsiveness (76%)."
CAND_0002025,8,0.8169,"Senior AI Engineer with 5.9 yrs exp at Apple. Core AI/ML skills: FAISS, TensorFlow, scikit-learn, OpenSearch. Strong semantic alignment with JD (ranking, retrieval, embeddings). Immediately available (Open to Work, 30d notice). Active GitHub contributor (score 97/100). Excellent recruiter responsiveness (80%)."
CAND_0088025,9,0.8015,"Staff Machine Learning Engineer with 8.6 yrs exp at Yellow.ai. Core AI/ML skills: Pinecone, QLoRA, LLMs, Hugging Face Transformers. Active GitHub contributor (score 75/100). Excellent recruiter responsiveness (83%)."
CAND_0008425,10,0.7553,"Senior NLP Engineer with 7.8 yrs exp at Ola. Core AI/ML skills: Learning to Rank, Qdrant, Sentence Transformers, NLP."
CAND_0037980,11,0.7498,"Senior Applied Scientist with 9.0 yrs exp at Niramai. Core AI/ML skills: LoRA, Search Infrastructure, PyTorch, NLP. Immediately available (Open to Work, 0d notice)."
CAND_0080766,12,0.7486,"Staff Machine Learning Engineer with 8.8 yrs exp at Salesforce. Core AI/ML skills: Search Backend, LoRA, Search & Discovery, MLOps. Strong semantic alignment with JD (ranking, retrieval, embeddings). Notice period 0d - ready to start soon."
CAND_0030468,13,0.734,"Senior Applied Scientist with 5.4 yrs exp at Swiggy. Core AI/ML skills: Information Retrieval Systems, TensorFlow, Search & Discovery, Machine Learning. Excellent recruiter responsiveness (78%)."
CAND_0046525,14,0.6447,"Senior Machine Learning Engineer with 6.1 yrs exp at Genpact AI. Core AI/ML skills: Elasticsearch, LangChain, Machine Learning, Information Retrieval. Strong semantic alignment with JD (ranking, retrieval, embeddings). Excellent recruiter responsiveness (88%)."
CAND_0058688,15,0.6436,"AI Engineer with 6.7 yrs exp at Vedantu. Core AI/ML skills: scikit-learn, Embeddings, TensorFlow, Information Retrieval. Immediately available (Open to Work, 15d notice). Excellent recruiter responsiveness (74%)."
CAND_0091909,16,0.6403,"Machine Learning Engineer with 6.9 yrs exp at Rephrase.ai. Core AI/ML skills: LLMs, Pinecone, QLoRA, Qdrant. Strong semantic alignment with JD (ranking, retrieval, embeddings)."
